State,program,identifier,period,var,semicolon,,colon,Integer,Boolean,begin,end,assignment,read,write,if,then,else,while,do,+,-,multiplication,integer_literal,true,false,>,>=,=,<=,<,$,PR,block,var_declaration_section,var_declaration_section',var_declaration,type,compound_statement,compound_statement',compound_statement-,statement,simple_statement,assignment_statement,read_statement,write_statement,structured_statement,if_statement,while_statement,expression,arithmetic_expression,term,factor,literal,boolean_literal,boolean_expression
0,s1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,,s2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,,,,s6,,,,,,s7,,,,,,,,,,,,,,,,,,,,,,,3,4,,,,5,,,,,,,,,,,,,,,,,
3,,,s8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,,,,,,,,,,s7,,,,,,,,,,,,,,,,,,,,,,,,,,,,9,,,,,,,,,,,,,,,,,
5,,,r2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,,s11,,,,,s12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10,,,,,,,,,,,,,,,,,,,
7,,s22,,,,,,,,s7,,,s23,s24,s25,,,s26,,,,,,,,,,,,,,,,,,,,21,,,13,14,16,17,18,15,19,20,,,,,,,
8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,acc,,,,,,,,,,,,,,,,,,,,,,,,
9,,,r1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10,,,,,s28,s29,,,,,,,,,,,,,,,,,,,,,,,,,,,,,27,,,,,,,,,,,,,,,,,,,,
11,,s11,,,,,s12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,30,,,,,,,,,,,,,,,,,,,
12,,,,,,,,s32,s33,,,,,,,,,,,,,,,,,,,,,,,,,,,,31,,,,,,,,,,,,,,,,,,
13,,,r10,,r10,,,,,,,,,,,,r10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14,,,r13,,r13,,,,,,,,,,,,r13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
15,,,r14,,r14,,,,,,,,,,,,r14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
16,,,r15,,r15,,,,,,,,,,,,r15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
17,,,r16,,r16,,,,,,,,,,,,r16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18,,,r17,,r17,,,,,,,,,,,,r17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
19,,,r22,,r22,,,,,,,,,,,,r22,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20,,,r23,,r23,,,,,,,,,,,,r23,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
21,,,r24,,r24,,,,,,,,,,,,r24,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
